SMILES,MolWt,NumHeavy,TPSA
C[C@H](N)C(=O)O, 89.09399999999998, 6, 63.32000000000001
NC(N)=NCCC[C@H](N)C(=O)O, 174.20399999999998, 12, 127.72000000000001
NC(=O)C[C@H](N)C(=O)O, 132.119, 9, 106.41000000000001
N[C@@H](CC(=O)O)C(=O)O, 133.10299999999998, 9, 100.62000000000002
N[C@@H](CS)C(=O)O, 121.16099999999997, 7, 63.32000000000001
N[C@@H](CCC(=O)O)C(=O)O, 147.13, 10, 100.62000000000002
NC(=O)CC[C@H](N)C(=O)O, 146.14600000000002, 10, 106.41000000000001
NCC(=O)O, 75.067, 5, 63.32000000000001
N[C@@H](Cc1cnc[nH]1)C(=O)O, 155.15699999999998, 11, 92.0
CC[C@H](C)[C@H](N)C(=O)O, 131.175, 9, 63.32000000000001
CC(C)C[C@H](N)C(=O)O, 131.175, 9, 63.32000000000001
NCCCC[C@H](N)C(=O)O, 146.19, 10, 89.34
CSCC[C@H](N)C(=O)O, 149.215, 9, 63.32000000000001
N[C@@H](Cc1ccccc1)C(=O)O, 165.19199999999995, 12, 63.32000000000001
O=C(O)[C@@H]1CCCN1, 115.13200000000002, 8, 49.33
N[C@@H](CO)C(=O)O, 105.09299999999999, 7, 83.55
C[C@@H](O)[C@H](N)C(=O)O, 119.11999999999999, 8, 83.55
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O, 204.22899999999998, 15, 79.11
N[C@@H](Cc1ccc(O)cc1)C(=O)O, 181.19099999999997, 13, 83.55
CC(C)[C@H](N)C(=O)O, 117.14799999999998, 8, 63.32000000000001
